Title;OriginalTitle;Synopsis;Genre;ReleaseDate
Titanic: Incêndio Fatal;Titanic: The New Evidence;Documentário Titanic - Incêndio Fatal. Foi o maior navio alguma vez construído. Considerado impossível de afundar, o Titanic afundou na sua viagem de inauguração, levando 1500 pessoas consigo para o fundo. Levantou então ondas de choque pelo mundo inteiro, criando um debate que continua até hoje. Porque é que, quando o Titanic recebeu vários avisos de icebergs em frente, o capitão avançou a toda a velocidade em vez de mudar o curso? Duas horas depois da colisão, o Titanic está a flutuar antes de, inexplicavelmente, se afundar e levar centenas de passageiros consigo.;Documentário;2017-01-21
Titanic;Titanic;Este filme alemão pouco conhecido remete à verdadeira história do navio oceânico britânico que encontrou um destino trágico. Ernst Fritz Fürbringer interpreta o presidente da White Star Line, que impensavelmente pressionou o capitão do Titanic (Otto Wernicke) para fazer o cruzamento mais rápido possível para Nova York. Curiosamente, o diretor Herbert Selpin foi preso pela Gestapo durante a produção deste filme (morrendo estranhamente alguns dias depois) e o Ministro da Propaganda nazista, Joseph Goebbels, proibiu sua exibição por suas cenas de pânico e terror. Tirando o fato de que, na noite anterior a sua estreia, o cinema onde o filme seria exibido sofreu um ataque aéreo. Sob as ordens de Selpin, o negativo do filme e as cópias existentes foram escondidos em um galpão secreto. Acreditou-se que o filme estava perdido, até que, em 1949, o negativo foi misteriosamente encontrado.;Ação,Drama,História;1943-11-10
Cem Anos de Titanic por James Cameron;Titanic: The Final Word with James Cameron;O cineasta James Cameron reúne o melhor time de engenheiros, arquitetos navais, artistas e historiadores com o objetivo de tentar finalmente desvendar os grandes mistérios que ainda giram em torno do naufrágio do Titanic.;Documentário,História;2012-04-08
Titanic, Suitable Version for Iranian Families;Titanic, noskhe monaseb baraye khanevadehaye irani;A complex and sometimes combative exchange at an Iranian broadcaster over a certain Hollywood blockbuster disguises deeper ruptures, in Farnoosh Samadi’s wry and subtly provocative drama.;Animação;2023-09-20
Reconstruindo o Titanic;Rebuilding Titanic;Especialistas reconstroem seções icônicas do Titanic, utilizando métodos da indústria de construção de navios de cem anos atrás.;Documentário,Filme para TV;2011-06-20
Titanic: A Verdadeira História?;Titanic's Final Mystery;Tim Maltin explora as últimas horas do navio antes do naufrágio.;Documentário;2012-05-29
Titanic: O Legado;Save the Titanic With Bob Ballard;Cem anos após o navio ter afundado em sua viagem inaugural, a embarcação está em perigo. Dr. Robert Ballard, guia da expedição que encontrou o Titanic anteriormente, faz uma jornada pessoal para salvar sua maior descoberta.;Documentário,História;2012-04-08
The Chambermaid on the Titanic;La femme de chambre du Titanic;Horty, a French foundry worker, wins a contest and is sent to see the sailing of the Titanic. In England, Marie, saying she is a chambermaid on the Titanic and cannot get a room, asks to share his room. They do, chastely. when he awakens, she is gone, but he sees her at the sailing and gets a photo of her. When he returns home, he suspects that his wife Zoe has been sleeping with Simeon, the foundry owner. Horty goes to the bar, where his friends get him drunk and he starts telling an erotic fantasy of what happened with him and Marie, drawing a larger audience each night.;Drama,Romance;1997-10-10
A Noite Devorou o Mundo;La nuit a dévoré le monde;Depois de acordar para se encontrar sozinho em um apartamento onde uma grande festa estava sendo realizada na noite anterior, Sam é imediatamente forçado a enfrentar uma realidade aterradora: os mortos vivos invadiram as ruas de Paris.;Drama,Horror,Suspense;2018-03-07
The Longest Penalty Shot in the World;El penalti más largo del mundo;Fernando (Fernando Tejero) is a loser. A gray type, without ambition, that works like bookcases distributor in a supermarket of the quarter. In his free short whiles, he is a substitute keeper of a football team, a third regional one. In all the season he has not played a single minute. But the last Sunday of the league the referee indicates penalty and the regular keeper injures itself. Fernando must occupy the goal for the first time. If penalty scores, the team of the district will proclaim champion. If no, all the effort of a year will not have been worth for anything. When the penalty is just about to be kicked, a group of indignant fans with the referee invades the field and prevents the kick. The competition committee decides that the penalty must play the following Sunday, in the same goal, with same players and the field closed to the public. El Penalti más largo del mundo, (The Longest Penalty Shot in the World) is exactly the history of that week of delay.;Comédia;2005-03-08
Sexta-Feira 13;Friday the 13th;"O Acampamento Crystal Lake será reaberto. Monitores ansiosos, seus olhos brilhando com nobres ideais, e seus hormônios à flor da pele, estão prontos para liderar as canções e brincadeiras dos hóspedes. Mas há um jogo que não constava na lista de atividades. Alguém resolveu brincar de ""Mate o Monitor"".";Horror;1980-05-09
Sexta-Feira 13;Friday the 13th;Em Crystal Lake, o que começou como o melhor fim semana de suas vidas rapidamente poderia se tornar o último. Um grupo de adolescentes, a quilômetros de distância da civilização estão prestes a descobrir, um a um, que o lago tem um sangrento passado... e está pronto para vingança.;Horror;2009-02-11
Sexta-Feira 13 - Parte 2;Friday the 13th Part 2;Cinco anos após o horrível massacre no acampamento Crystal Lake, tudo que resta é a lenda de Jason Voorhees e sua mãe, que assassinou sete instrutores do acampamento. Num acampamento de verão próximo, os novos instrutores não sabem que têm de ficar o mais distante possível daquele lugar. Descuidados, os jovens circulam pela área, sem sentir a presença ameaçadora do mal. Um a um, eles são atacados e mortos brutalmente.;Horror;1981-05-01
Sexta-Feira 13 - Parte 5: Um Novo Começo;Friday the 13th: A New Beginning;Jason está de volta, com sua máscara e tudo o mais. Lá vem ele de novo com seus velhos truques diabólicos, nesta sequência. Desta vez, ele parece ter lançado seus olhares sobre os jovens pacientes de um isolado sanatório. E um pouco mais que seus alvos adolescentes acabam em metades, pedaços... Pode inventar que Jason bota pra quebrar.;Horror;1985-03-22
Sexta-Feira 13 - Parte 8: Jason Ataca Nova York;Friday the 13th Part VIII: Jason Takes Manhattan;Estudantes fazem uma viagem de barco a Nova York, mas recebem a visita do temido Jason, que ressuscitou do fundo do Crystal Lake e vai espalhar sangue e terror pela Big Apple.;Horror;1989-07-28
Sexta-Feira 13 - Parte 3;Friday the 13th Part III;Um romântico verão se transforma num pesadelo de indescritível terror para mais um grupo de ingênuos monitores. Desconhecendo a sangrenta herança do acampamento Crystal Lake, um a um, eles se tornam vítimas do maníaco Jason, que os espreita a todo o momento.;Horror;1982-08-13
Sexta-Feira 13 - Parte 6: Jason Vive;Friday the 13th Part VI: Jason Lives;"Quando criança, Tommy fez o que muitos morreram tentando fazer: matar Jason Vorhees, o assassino que aterrorizava os habitantes de Crystal Lake. Agora, muitos anos depois, Tommy é perseguido pelo medo de que talvez Jason não esteja morto realmente. Ele vai ao cemitério com um amigo para cavar o túmulo de Jason. Infelizmente para Tommy, (e muito mais para seu amigo), eles descobrem não um corpo em decomposição, mas o próprio Jason que apenas descansara, e agora está pronto para retornar sua escalada de sangue e terror em ""Sexta-Feira 13 - Parte 6: Jason Vive"".";Horror,Mistério,Suspense;1986-08-01
Sexta-Feira 13 - Parte IV: O Capítulo Final;Friday the 13th: The Final Chapter;Depois de sua ressurreição num necrotério, o assassino mascarado dedica sua vingativa atenção à família Jarvis e a um grupo de desavisados adolescentes. O jovem Tommy Jarvis é um aficionado dos filmes de terror, com um talento especial para criar máscaras e maquiagem. Será que o diabólico Jason encontrou um adversário à altura?;Horror;1984-04-13
Sexta-Feira 13 - Parte 7: A Matança Continua;Friday the 13th Part VII: The New Blood;Tina Shepard é uma adolescente com poderes telecinéticos descontrolados. Quando menina tirava férias no acampamento Crystal Lake, ela matou seu abusivo pai com o uso das suas habilidades mentais, quando teve um acesso de raiva. Anos depois, ao se aconselhar com Crews, um psicólogo manipulador e ambicioso, Tina concorda em participar de uma terapia radical que a leva de volta à Crystal Lake. Infelizmente, as habilidades psíquicas de Tina despertam Jason Voorhees, que estava sepultado no fundo do lago, o que faz com que o vingativo Jason elimine vários adolescentes de uma casa próxima de forma sangrenta. Assim, Tina tenta deter o massacre de Jason usando seus poderes.;Horror;1988-05-13
Sexta-Feira 13;Black Friday;University professor George Kingsley is struck by gangsters while crossing the street, leaving him with brain damage and one of the gangsters, Cannon, paralyzed. Kingsley's friend Dr. Sovac attends to both men, and when Cannon offers him a reward for aiding his recovery, Kovac transplants part of Cannon's brain into the dying Kingsley's skull, creating a dual personality.;Crime,Horror,Ficção Científica;1940-02-29
Agosto 13 Sexta-Feira;Agosto 13 Sexta-Feira;Em um dia de azar, um crime ocorre envolvendo dois assassinatos e um assalto de joalheria. Das nove ao meio dia, as jóias circulam por mãos inocentes e terminam na mesa de um delegado que esclarece as diversas casualidades e coincidências.;Aventura,Comédia;1955-03-01
Entrei em Pânico ao Saber o Que Vocês Fizeram na Sexta-Feira 13 do Verão Passado - Parte 2: A Hora da Volta da Vingança dos Jogos Mortais de Halloween;Entrei em Pânico ao Saber o Que Vocês Fizeram na Sexta-Feira 13 do Verão Passado - Parte 2: A Hora da Volta da Vingança dos Jogos Mortais de Halloween;Sete anos após o massacre do primeiro filme, os sobreviventes Eliseu e Niandra ainda temem a volta de Geison, o terrível psicopata que esquartejou seus amigos em uma noite de sexta-feira 13. Novos assassinatos começam a acontecer. Mas quem estará por trás da máscara do matador?;Comédia,Horror;2011-10-20
Entrei em Pânico ao Saber o Que Vocês Fizeram na Sexta-feira 13 do Verão Passado;Entrei em Pânico ao Saber o Que Vocês Fizeram na Sexta-feira 13 do Verão Passado;Um dos títulos mais populares do cinema independente brasileiro, este filme amador conta as desventuras de um grupo de jovens da Serra Gaúcha perseguidos por um psicopata mascarado.;Comédia,Horror;2001-12-23
Jason Vai para o Inferno: A Última Sexta-Feira;Jason Goes to Hell: The Final Friday;Estudantes fazem uma viagem de barco a Nova York, mas recebem a visita do temido Jason, que ressuscitou do fundo do Crystal Lake e vai espalhar sangue e terror pela Big Apple.;Horror;1993-08-13
Segundas Intenções;Cruel Intentions;"Sem querer, Annette passa a ser objeto de um diabólico jogo sexual para os irmãos de criação Sebastian e Kathryn ao escrever um artigo na revista ""Seventeen"" sobre como pretende permanecer virgem até se casar. Porém, Sebastian recebe mais do que esperava quando tenta levar Annette para cama. A incursão do jovem faz parte de uma aposta que ele fez com a irmã manipuladora, que adora passar o tempo tentando arruinar a vida amorosa dos amigos.";Drama,Romance;1999-03-05
Segundas Intenções 2;Cruel Intentions 2;Quando se muda para a mansão da nova família de seu pai, Sebastian Valmont percebe que sua meia irmã Kathryn é mais inescrupulosa que ele. Enquanto ela faz planos maquiavélicos, ele se apaixona por Danielle, filha da diretora da escola onde estuda.;Drama;2001-03-13
Segundas Intenções 3;Cruel Intentions 3;Quando uma maliciosa aposta de sedução e abandono de dois amigos fica só no papel, Jason e Patrick, dois estudantes da Faculdade Prestridge, se concentram no prêmio final: Cassie Merteuil, uma mulher fria e calculista ao extremo, que leva a manipulação para um outro nível de prazer e dor.;Drama;2004-05-25
Segundas Intenções;Match;Tobi Powell (Patrick Stewart), experiente professor de dança da prestigiosa Juilliard, aceita conceder entrevista a Lisa (Carla Gugino), acadêmica de Seattle que está escrevendo uma dissertação sobre a dança em Nova York na década de 1960. Conforme as conversas avançam, segredos do passado vão sendo revelados e as segundas intenções do encontro vêm à tona.;Comédia,Drama;2014-04-18
Intentions;Intentions;Renee leads a fulfilling life as a professor of theater, mother of two girls, and wife to a kind and successful husband. Her life of contentment is changed forever when she discovers an undeniable attraction between herself and a female graduate student. Now every element of her life is called into question -- a question only she can answer about what she wants and needs.;;2003-03-01
Advogado do Diabo;The Devil's Advocate;Kevin Lomax, advogado de uma pequena cidade da Flórida que nunca perdeu um caso, é contratado por John Milton, dono da maior firma de advocacia de Nova York. No início tudo parece correr bem, mas Mary Ann, a esposa do advogado, começa a testemunhar aparições demoníacas. Kevin está empenhado em defender o cliente e cada vez dá menos atenção a sua mulher, enquanto seu misterioso chefe parece sempre saber como contornar cada problema e tudo que perturba o jovem advogado.;Drama,Horror,Mistério,Suspense;1997-10-17
A Prima Sofia;Une fille facile;Naïma acaba de fazer 16 anos. Neste verão, ela terá que decidir o que quer da vida se não quiser perder. Então chega sua prima Sofia, com um corpo incrível e um estilo de vida perigosamente sedutor. Naïma deseja apenas seguir seu próprio caminho, desde que ele conduza para cima ... Apesar dos avisos de seu melhor amigo Dodo, ela e Sofia viverão encontros inesquecíveis durante um longo verão que os marcará para sempre;Comédia,Drama;2019-08-28
Modo Avião;Modo Avião;Uma jovem influenciadora digital bate o Mustang de colecionador do avô ao tirar uma selfie e é enviada para a fazenda dele para tentar consertar o carro, mas com um detalhe crucial: ela não pode usar o celular…;Comédia,Drama,Romance;2020-01-23
Na Palma da Mão;스마트폰을 떨어뜨렸을 뿐인데;A vida de uma mulher vira de cabeça para baixo quando um homem perigoso encontra um celular perdido e começa a seguir tudo o que ela faz.;Mistério,Suspense;2023-02-17
O Amor na Palma da Mão;The Simian Line;The Simian Line is an American improvisational film, released in 2001. When Katharine (Lynn Redgrave) throws a party on Halloween, a psychic called Arnita (Tyne Daly) predicts that one of the three couples present at the party will break up by the end of the year. The guests don't take her seriously. Arnita doesn't tell them that she can see a fourth couple at the party, the long dead Mae (Samantha Mathis) and Edward (William Hurt). As days go by, Katharine grows increasingly jealous of her lover Rick (Harry Connick, Jr.), and his flirting with her neighbor Sandra (Cindy Crawford). Sandra is married to Paul (Jamey Sheridan). Marta (Monica Keena) and Billy (Dylan Bruno) are rock musicians who live in the same building as Katharine.;Drama;2001-11-16
Flávio Rangel - O Teatro na Palma da Mão;Flávio Rangel - O Teatro na Palma da Mão;;Documentário;2009-11-21
O Lobo E O Leão;Le Loup et le Lion;Um filhote de lobo e um filhote de leão perdidos são resgatados por uma garota no coração do deserto canadense. A amizade deles mudará suas vidas para sempre.;Aventura,Família;2021-10-13
A Magia das Águas;Magic in the Water;Ashley e Josh não têm muita chance de estar com o pai. Agora vão passar férias num lago canadense, que dizem ser habitado por um monstro.;Aventura,Drama,Família,Fantasia;1995-08-30
A História sem Fim;Die unendliche Geschichte;"Quando o jovem Bastian pegou emprestado um misterioso livro, ele jamais sonhou que ao virar uma página seria levado a um mundo de fantasia onde pudesse ver um caracol de corrida, um morcego planador, um dragão da sorte, elfos, uma Imperatriz Menina, o valente guerreiro Atreyu e uma pedra ambulante chamada Come-Pedra. Você apreciará esta adorável aventura e descobrirá que ""A História Sem Fim"" é a sua história!";Aventura,Drama,Família,Fantasia;1984-04-06
A História Sem Fim 2;The NeverEnding Story II: The Next Chapter;Bastian deve salvar Fantasia de uma terrível feiticeira e encontrar coragem que lhe falta na vida real. Seus velhos amigos se juntam a ele: Atreyu. o menino guerreiro, Falkor. o dragão da sorte e o Come-Pedra. E novas criaturas surgem, como Nimbly. o pássaro, o pequeno Wambos, Mudwart, os Gigantes, Come-Pedra Jr. e Smerg. o dragão. Uma grande sequência de efeitos nos trazem incríveis emoções. A mais nova e maravilhosa aventura de Bastian é tão encantadora como a primeira!;Aventura,Drama,Família,Fantasia;1990-10-25
A História Sem Fim 3;The NeverEnding Story III;"Bastian (Jason James Richter) se esconde em uma biblioteca ao fugir de uma gangue de garotos. Lá ele encontra o livro ""A História Sem Fim"". Decidido a esquecer seus problemas, ele começa a lê-lo e novamente chega a Fantasia. Só que o líder da gangue encontra o livro caído no chão e passa a escrever nele diversas maldades e perigos, o que faz com que o reino torne-se um pesadelo. O único jeito de salvar Fantasia é com Bastian retornando ao mundo real para resgatar o livro.";Família,Fantasia;1994-10-26
Norte, O Fim da História;Norte, Hangganan ng Kasaysayan;Um homem é injustamente preso por assassinato enquanto o verdadeiro assassino está solto.  O assassino é um intelectual frustrado com o ciclo interminável de traição e apatia por seu país. O condenado é um homem simples que acha a vida na prisão tolerável, porém algo misterioso e estranho começa a acontecer com ele.;Crime,Drama;2013-09-29
Cocoricó - História com fim;Cocoricó - História com fim;Depois do último capítulo do livro “Aventura Sem Fim” da Lola ser roubado por Dito e Feito, a mando do Pato Torquato, Noel leva Júlio, João, Lilica e Vitória à uma livraria para tentar encontrar um livro igual.  Em meio aos livros de aventura, romance e poesia, eles encontram a seção de livros antigos e lá o “Aventura Com Fim” para saberem o final da história, junto com Lola e a turma do Paiol, através do Lap Top.;;
Ainda Não É O Fim: A História De Simon Fitzmaurice;It's Not Yet Dark;The story of Simon Fitzmaurice, a young filmmaker who becomes completely paralyzed from motor neuron disease but goes on to direct an award-winning feature film through the use of his eyes.;Documentário;2016-07-09
A História sem Fim;Die unendliche Geschichte;"Quando o jovem Bastian pegou emprestado um misterioso livro, ele jamais sonhou que ao virar uma página seria levado a um mundo de fantasia onde pudesse ver um caracol de corrida, um morcego planador, um dragão da sorte, elfos, uma Imperatriz Menina, o valente guerreiro Atreyu e uma pedra ambulante chamada Come-Pedra. Você apreciará esta adorável aventura e descobrirá que ""A História Sem Fim"" é a sua história!";Aventura,Drama,Família,Fantasia;1984-04-06
A História Sem Fim 2;The NeverEnding Story II: The Next Chapter;Bastian deve salvar Fantasia de uma terrível feiticeira e encontrar coragem que lhe falta na vida real. Seus velhos amigos se juntam a ele: Atreyu. o menino guerreiro, Falkor. o dragão da sorte e o Come-Pedra. E novas criaturas surgem, como Nimbly. o pássaro, o pequeno Wambos, Mudwart, os Gigantes, Come-Pedra Jr. e Smerg. o dragão. Uma grande sequência de efeitos nos trazem incríveis emoções. A mais nova e maravilhosa aventura de Bastian é tão encantadora como a primeira!;Aventura,Drama,Família,Fantasia;1990-10-25
A História Sem Fim 3;The NeverEnding Story III;"Bastian (Jason James Richter) se esconde em uma biblioteca ao fugir de uma gangue de garotos. Lá ele encontra o livro ""A História Sem Fim"". Decidido a esquecer seus problemas, ele começa a lê-lo e novamente chega a Fantasia. Só que o líder da gangue encontra o livro caído no chão e passa a escrever nele diversas maldades e perigos, o que faz com que o reino torne-se um pesadelo. O único jeito de salvar Fantasia é com Bastian retornando ao mundo real para resgatar o livro.";Família,Fantasia;1994-10-26
Norte, O Fim da História;Norte, Hangganan ng Kasaysayan;Um homem é injustamente preso por assassinato enquanto o verdadeiro assassino está solto.  O assassino é um intelectual frustrado com o ciclo interminável de traição e apatia por seu país. O condenado é um homem simples que acha a vida na prisão tolerável, porém algo misterioso e estranho começa a acontecer com ele.;Crime,Drama;2013-09-29
Cocoricó - História com fim;Cocoricó - História com fim;Depois do último capítulo do livro “Aventura Sem Fim” da Lola ser roubado por Dito e Feito, a mando do Pato Torquato, Noel leva Júlio, João, Lilica e Vitória à uma livraria para tentar encontrar um livro igual.  Em meio aos livros de aventura, romance e poesia, eles encontram a seção de livros antigos e lá o “Aventura Com Fim” para saberem o final da história, junto com Lola e a turma do Paiol, através do Lap Top.;;
Ainda Não É O Fim: A História De Simon Fitzmaurice;It's Not Yet Dark;The story of Simon Fitzmaurice, a young filmmaker who becomes completely paralyzed from motor neuron disease but goes on to direct an award-winning feature film through the use of his eyes.;Documentário;2016-07-09
Cisne Negro;Black Swan;"Nina é uma bailarina cuja obsessão pela dança supera todas as facetas de sua vida. Quando o diretor artístico da companhia decide substituir sua prima ballerina para a produção de estreia de ""O Lago dos Cisnes"", Nina é sua primeira escolha. Sua concorrente é a novata Lily. Embora Nina seja perfeita para o papel do Cisne Branco, Lily personifica o Cisne Negro. A rivalidade entre as duas bailarinas se transforma em uma amizade distorcida e o lado obscuro de Nina começa a vir à tona.";Drama,Horror,Suspense;2010-12-03
Ascensão do Cisne Negro;SAS: Red Notice;Um pequeno exército de criminosos bem treinados liderados por Laszlo Antonov sequestrou o Eurostar nas profundezas do Canal da Mancha.;Ação,Drama,Suspense;2021-08-11
O Cisne Negro;The Black Swan;Quando o notório pirata Henry Morgan é nomeado governador da Jamaica, ele pede a ajuda de alguns de seus ex-parceiros para livrar o Caribe dos Bucaneiros. Quando um deles aparentemente seqüestra a linda filha do governador anterior e se junta aos rebeldes, as coisas estão prontas para uma briga. (e 14 - Estimado 14 Anos);Ação,Aventura,Drama,Romance;1942-12-04
The Swan of Wishes;Cisne Cuello Negro, Cuello Blanco;Sergio Abel lives in a small town in Central Cuba and he videotapes his life. He is also a grade school teacher. A beautiful documentary that incorporates Sergio’s observations and footage and his student’s aspirations for the future with the outsider’s eye to tell his story.;Documentário;2009-12-03
CI(s)NE NEGRO;CI(s)NE NEGRO;A captura de El Chapo Guzmán através da Operação Cisne Negro penetra no interior chamuscado do Arquivo Cinematográfico Mexicano queimado em 1982. Prisões clandestinas sob as ruas da Cidade do México, camadas de buracos negros ocultos e histórias opacas.;;2016-02-02
Advogado do Diabo;The Devil's Advocate;Kevin Lomax, advogado de uma pequena cidade da Flórida que nunca perdeu um caso, é contratado por John Milton, dono da maior firma de advocacia de Nova York. No início tudo parece correr bem, mas Mary Ann, a esposa do advogado, começa a testemunhar aparições demoníacas. Kevin está empenhado em defender o cliente e cada vez dá menos atenção a sua mulher, enquanto seu misterioso chefe parece sempre saber como contornar cada problema e tudo que perturba o jovem advogado.;Drama,Horror,Mistério,Suspense;1997-10-17
